15/12/05 11:29
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	5128	43939	    237931	    276938	  153	
未翻訳：        	1736	20223	    105317	    123348	   33	
繰り返しを除いた：   	4237	41655	    225669	    263236	  150	
繰り返しを除いた未翻訳：	1614	19762	    102470	    119975	   33	


ファイルごとの翻訳状況：

ファイル名                                                                                 	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
crystal-jp-gh-pages/_drafts/type-inference-part-2.md                                  	     46	    40	         41	            37	    425	   409	        413	           400	          2007	         1918	              1959	                 1881	          2373	         2278	              2318	                 2234	
crystal-jp-gh-pages/_gitbook/conventions/coding_style.md                              	     90	     0	         72	             0	    329	     0	        302	             0	          2207	            0	              2085	                    0	          2452	            0	              2325	                    0	
crystal-jp-gh-pages/_gitbook/conventions/documenting_code.md                          	     81	     0	         71	             0	    541	     0	        526	             0	          3233	            0	              3153	                    0	          3733	            0	              3646	                    0	
crystal-jp-gh-pages/_gitbook/conventions/README.md                                    	      4	     0	          4	             0	     44	     0	         44	             0	           275	            0	               275	                    0	           316	            0	               316	                    0	
crystal-jp-gh-pages/_gitbook/installation/from_a_targz.md                             	      8	     0	          8	             0	    109	     0	        109	             0	           520	            0	               520	                    0	           613	            0	               613	                    0	
crystal-jp-gh-pages/_gitbook/installation/from_source_repository.md                   	     14	     0	         14	             0	    170	     0	        170	             0	           918	            0	               918	                    0	          1057	            0	              1057	                    0	
crystal-jp-gh-pages/_gitbook/installation/on_arch_linux.md                            	      4	     0	          4	             0	     18	     0	         18	             0	           108	            0	               108	                    0	           124	            0	               124	                    0	
crystal-jp-gh-pages/_gitbook/installation/on_debian_and_ubuntu.md                     	     15	     0	         14	             0	    115	     0	        115	             0	           721	            0	               718	                    0	           817	            0	               814	                    0	
crystal-jp-gh-pages/_gitbook/installation/on_mac_osx_using_homebrew.md                	      6	     0	          6	             0	     49	     0	         49	             0	           274	            0	               274	                    0	           315	            0	               315	                    0	
crystal-jp-gh-pages/_gitbook/installation/on_redhat_and_centos.md                     	     16	     0	          8	             0	    114	     0	         60	             0	           704	            0	               423	                    0	           796	            0	               466	                    0	
crystal-jp-gh-pages/_gitbook/installation/README.md                                   	      3	     0	          3	             0	     55	     0	         55	             0	           427	            0	               427	                    0	           473	            0	               473	                    0	
crystal-jp-gh-pages/_gitbook/overview/hello_world.md                                  	      4	     0	          4	             0	     41	     0	         41	             0	           211	            0	               211	                    0	           248	            0	               248	                    0	
crystal-jp-gh-pages/_gitbook/overview/http_server.md                                  	     35	     0	         23	             0	    185	     0	        180	             0	          1258	            0	              1206	                    0	          1398	            0	              1346	                    0	
crystal-jp-gh-pages/_gitbook/overview/README.md                                       	      8	     0	          7	             0	     80	     0	         78	             0	           401	            0	               390	                    0	           476	            0	               464	                    0	
crystal-jp-gh-pages/_gitbook/README.md                                                	      3	     0	          3	             0	     42	     0	         42	             0	           231	            0	               231	                    0	           271	            0	               271	                    0	
crystal-jp-gh-pages/_gitbook/SUMMARY.md                                               	    111	     0	        111	             0	    458	     0	        458	             0	          5958	            0	              5958	                    0	          6159	            0	              6159	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/alias.md                            	     17	     0	         17	             0	    102	     0	        102	             0	           537	            0	               537	                    0	           625	            0	               625	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/and.md                              	     10	     0	         10	             0	     68	     0	         68	             0	           312	            0	               312	                    0	           372	            0	               372	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/as.md                               	     54	     0	         48	             0	    594	     0	        582	             0	          2932	            0	              2867	                    0	          3516	            0	              3447	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/as_a_suffix.md                      	      6	     0	          6	             0	     40	     0	         40	             0	           178	            0	               178	                    0	           212	            0	               212	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/as_an_expression.md                 	     18	     0	         15	             0	     92	     0	         80	             0	           328	            0	               292	                    0	           398	            0	               353	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/assignment.md                       	     24	     0	         24	             0	    216	     0	        216	             0	          1237	            0	              1237	                    0	          1497	            0	              1497	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/attributes.md                       	     39	     0	         37	             0	    271	     0	        267	             0	          1567	            0	              1547	                    0	          1781	            0	              1760	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/block_forwarding.md                 	     56	     0	         46	             0	    307	     0	        275	             0	          1665	            0	              1506	                    0	          1909	            0	              1734	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/blocks_and_procs.md                 	    186	     0	        134	             0	   1060	     0	        940	             0	          5297	            0	              4792	                    0	          6152	            0	              5595	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/blocks_performance.md               	      1	     0	          1	             0	      1	     0	          1	             0	            12	            0	                12	                    0	            13	            0	                13	                    0	
